Mr Graham Brady,gov
Mr Aidan Burley,gov
Jeremy Corbyn,opp
Laura Moffatt,gov
Greg Mulholland,gov
Jeremy Corbyn,opp
Maggie Throup,gov
Miss Anne McIntosh,opp
Mr. Ben Wallace,opp
Stella Creasy,opp
Mr. Charles Kennedy,opp
Michael Howard,opp
Mrs Helen Grant,gov
David Mowat,gov
John Thurso,gov
Mr. Bob Blizzard,gov
Guto Bebb,gov
Mr. Robert Goodwill,opp
Jeremy Corbyn,opp
Mr. John Greenway,opp
Mr. John Maples,opp
Angus Robertson,opp
Ms Angela Eagle,opp
Mr. David Cameron,opp
Mr John Whittingdale,gov
Mr Nigel Dodds,opp
Jack Dromey,opp
Nia Griffith,opp
Henry Smith,gov
Ian Mearns,opp
Helen Jackson,opp
Mr. Neil Turner,gov
Edward Miliband,opp
Edward Miliband,opp
Edward Miliband,opp
Neil Carmichael,gov
Edward Miliband,opp
Mr. Alex Salmond,opp
Jackie Doyle-Price,gov
Rosie Cooper,opp
Edward Miliband,opp
Mrs Eleanor Laing,gov
Stephen Lloyd,opp
Mr. Tim Loughton,opp
Mr. William Hague,opp
Steven Paterson,opp
Mr. Eric Illsley,opp
Edward Miliband,opp
Mrs Cheryl Gillan,gov
Edward Miliband,opp
Stephen Doughty,opp
Lucy Powell,opp
Mr Nick Raynsford,opp
Caroline Flint,opp
Mr. Bob Blizzard,opp
Mr. Kevin Hughes,opp
Jane Ellison,gov
Mr. Jonathan Djanogly,opp
Mr. David Cameron,opp
Mr. Tam Dalyell,gov
Phil Wilson,opp
Norman Baker,opp
Jonathan Edwards,opp
Caroline Lucas,opp
David Rutley,gov
Lembit Öpik,opp
Teresa Pearce,opp
Edward Miliband,opp
Emily Thornberry,opp
Mr. Desmond Swayne,opp
Heather Wheeler,gov
David Winnick,opp
Angus Robertson,opp
Barbara Keeley,opp
Nigel Adams,gov
Bob Russell,gov
Mr. Jimmy Hood,gov
Mr Pat McFadden,opp
Mr. Peter Pike,gov
Edward Miliband,opp
Mr. William Hague,opp
Kelly Tolhurst,gov
Paul Blomfield,opp
Mr. James Clappison,opp
Derek Thomas,gov
Edward Miliband,opp
Mr Graham Stuart,gov
Mr. Tom Clarke,gov
Edward Miliband,opp
Mr Andrew Smith,opp
John Hemming,opp
Mr. Michael Howard,opp
Harriett Baldwin,gov
Rachel Reeves,opp
Bob Russell,opp
Mr. Bill Wiggin,opp
Mr. David Kidney,gov
Ms Harriet Harman,opp
Mr. Michael Howard,opp
Mr A.J. Beith,opp
Alok Sharma,gov
Karen Lumley,gov
Amanda Milling,gov
Miss Anne Begg,opp
Mr Russell Brown,opp
Jeremy Corbyn,opp
Glyn Davies,gov
Kerry McCarthy,opp
Andrew Percy,gov
Norman Lamb,opp
Bob Russell,opp
Mr. Michael Howard,opp
Mr. Ian Davidson,gov
Mr. Alistair Carmichael,opp
Mr. Michael Howard,opp
Nic Dakin,opp
Chris Green,gov
Mr. Neil Gerrard,gov
Kerry McCarthy,opp
Jeremy Corbyn,opp
Phil Wilson,opp
Jeremy Corbyn,opp
Ian Paisley,opp
Richard Burden,gov
Edward Miliband,opp
Gloria De Piero,opp
Hilary Benn,opp
Mr John Whittingdale,gov
Mr. David Cameron,opp
Colin Clark,gov
Margot James,gov
Esther McVey,gov
Mr Gareth Thomas,opp
Jack Dromey,opp
Mr. David Cameron,opp
Mr. Ronnie Campbell,opp
Tony Lloyd,gov
Colin Burgon,gov
Damian Green,gov
Jeff Smith,opp
Oliver Colvile,gov
Jim Dowd,opp
Sheila Gilmore,opp
Fiona Bruce,gov
Damian Hinds,gov
Julian Knight,gov
Henry Smith,gov
Mr. James Clappison,opp
Liz Blackman,opp
Mr. Simon Thomas,opp
Mr Ben Bradshaw,opp
Vernon Coaker,opp
Mr. Andrew Turner,opp
Katy Clark,opp
Andrew Selous,gov
Jonathan Shaw,gov
David Tredinnick,gov
Mr Peter Bone,gov
Ian Blackford,opp
Glyn Davies,gov
Jeremy Corbyn,opp
Mr David Burrowes,gov
Emily Thornberry,opp
Mr. Bob Blizzard,gov
Ian Mearns,opp
Mr. Eric Martlew,gov
George Osborne,gov
Michael Connarty,opp
Stella Creasy,opp
Mr Alan Mak,gov
Mr. Dominic Grieve,opp
Mr Douglas Carswell,gov
George Osborne,gov
Emily Thornberry,opp
Angus Robertson,opp
Mr Adrian Sanders,gov
Richard Drax,gov
Mr Nigel Dodds,opp
Angus Robertson,opp
Edward Miliband,opp
Mrs Sharon Hodgson,opp
Mr Philip Hollobone,gov
Mr Andrew Turner,gov
Mr. Charles Kennedy,opp
Mrs. Irene Adams,opp
Lilian Greenwood,opp
William Hague,gov
Stephen Doughty,opp
Angus Robertson,opp
Philip Davies,opp
Jeremy Corbyn,opp
George Eustice,gov
Mr. Gwyn Prosser,opp
Mr. William Hague,opp
Lucy Powell,opp
John Woodcock,opp
Sheila Gilmore,opp
Wendy Morton,gov
Patricia Gibson,opp
Yvette Cooper,opp
Mhairi Black,opp
Mr William Bain,opp
Mr Robin Walker,gov
Judith Cummins,opp
Edward Miliband,opp
Mr Alan Reid,gov
Ian Murray,opp
Dr Julian Lewis,gov
Ms Harriet Harman,opp
Edward Miliband,opp
Edward Miliband,opp
Sir Paul Beresford,opp
Barbara Keeley,opp
Caroline Dinenage,gov
Mr. John Leech,opp
Julian Sturdy,gov
Mr. William Hague,opp
Rosie Duffield,opp
Leo Docherty,gov
Jonathan Lord,gov
Mr. Mark Hendrick,gov
Mr. Mike Weir,opp
Rehman Chishti,gov
Sir Michael Spicer,opp
Mr Edward Leigh,gov
Mr Iain Wright,opp
Mr. David Cameron,opp
Ms Harriet Harman,opp
Mr. Michael Howard,opp
Ms Harriet Harman,opp
Derek Twigg,opp
Barbara Follett,opp
Mrs Cheryl Gillan,gov
Stephen Mosley,gov
Mr David Hamilton,opp
Mark Durkan,opp
Julie Morgan,opp
Meg Hillier,opp
Luciana Berger,opp
Steve Rotheram,opp
Stephen Metcalfe,gov
Mr. William Hague,opp
Mr. John Denham,gov
Edward Miliband,opp
Callum McCaig,opp
Edward Miliband,opp
Caroline Flint,opp
George Freeman,gov
Jeremy Corbyn,opp
Annette Brooke,gov
Mr. Michael Howard,opp
Edward Miliband,opp
Jim Dobbin,opp
Amanda Solloway,gov
Edward Heath,opp
Llew Smith,gov
Andrew George,gov
Leo Docherty,gov
Richard Fuller,gov
Caroline Lucas,opp
Mr. Andrew Stunell,opp
Jackie Doyle-Price,gov
Mr. David Cameron,opp
Stephen Metcalfe,gov
Dr. Doug Naysmith,opp
Naz Shah,opp
Harriet Harman,gov
Angus Robertson,opp
David Morris,gov
Mr. Charles Kennedy,opp
Sarah Teather,opp
Stephen Lloyd,gov
Mr Nigel Dodds,opp
Chi Onwurah,opp
Angus Robertson,opp
Mr Barry Sheerman,opp
Edward Miliband,opp
Mr Stewart Jackson,gov
Natascha Engel,opp
Mr. Edward Garnier,opp
Mark Pritchard,gov
Mr. David Marshall,gov
Mr Russell Brown,opp
Mr. Richard Burden,opp
Katy Clark,opp
Mr. Henry Bellingham,opp
Debbie Abrahams,opp
Mr. Charles Kennedy,opp
Michelle Donelan,gov
Mr. Richard Spring,opp
Mr. Alasdair Morgan,opp
Paul Flynn,opp
Jo Swinson,opp
Jeremy Corbyn,opp
Fiona Bruce,gov
Angie Bray,gov
Mr. Richard Burden,opp
Paul Flynn,opp
Mr Graham Stuart,gov
Lisa Nandy,opp
Chloe Smith,gov
Edward Miliband,opp
Edward Miliband,opp
Mr. Iain Duncan Smith,opp
Neil Parish,gov
Stephen Kinnock,opp
Mr. Charles Kennedy,opp
Richard Drax,gov
Craig Tracey,gov
Mary Macleod,gov
Neil Parish,gov
Mr. David Cameron,opp
Siobhain McDonagh,opp
Mr. Michael Howard,opp
Mark Pawsey,gov
George Osborne,gov
Glyn Davies,gov
Mr. Elfyn Llwyd,opp
Edward Miliband,opp
Damian Green,gov
Stephen Metcalfe,gov
Joseph Johnson,gov
Mike Crockart,gov
Jeremy Corbyn,opp
Mr. Alex Salmond,opp
Mr Christopher Chope,gov
Jeremy Corbyn,opp
Jeremy Corbyn,opp
Anne Marie Morris,gov
Nick Smith,opp
Charlotte Atkins,gov
Mr John Baron,gov
Mr. Charles Kennedy,opp
Simon Wright,gov
Julian Sturdy,gov
Yasmin Qureshi,opp
Mr. David Cameron,opp
Ann McKechin,opp
Mr. Michael Howard,opp
Harriet Harman,gov
Richard Drax,gov
Matthew Taylor,opp
Mr. Iain Duncan Smith,opp
Sir Henry Bellingham,gov
Mr. Chris Mole,opp
Rushanara Ali,opp
Andrew Miller,opp
Kali Mountford,gov
